|circuitId|url|circuitName|Location.lat|Location.long|Location.locality|Location.country|season|round|date|time|race name|fastest|mean_s|median_s|std dev_s|mean_p|median_p|std dev_p
0|bahrain|http://en.wikipedia.org/wiki/2013_Bahrain_Grand_Prix|Bahrain International Circuit|26.0325|50.5106|Sakhir|Bahrain|2013|4|2013-04-21|12:00:00Z|Bahrain Grand Prix|92.33|93.95927272727273|93.80799999999999|1.2034160576426625|101.76461900495259|101.60077981154555|1.3033857442246966
0|catalunya|http://en.wikipedia.org/wiki/2013_Spanish_Grand_Prix|Circuit de Barcelona-Catalunya|41.57|2.26111|Montmeló|Spain|2013|5|2013-05-12|12:00:00Z|Spanish Grand Prix|80.718|82.41995454545454|82.1465|1.3724990928012502|102.1085192218025|101.76974156941449|1.7003631071152054
0|monaco|http://en.wikipedia.org/wiki/2013_Monaco_Grand_Prix|Circuit de Monaco|43.7347|7.42056|Monte-Carlo|Monaco|2013|6|2013-05-26|12:00:00Z|Monaco Grand Prix|73.876|78.50735000000002|77.017|4.76879699356027|106.26908603606041|104.25171909686502|6.455136977584424
0|villeneuve|http://en.wikipedia.org/wiki/2013_Canadian_Grand_Prix|Circuit Gilles Villeneuve|45.5|-73.5228|Montreal|Canada|2013|7|2013-06-09|18:00:00Z|Canadian Grand Prix|82.318|84.53418181818179|84.292|1.2315184447070526|102.6922201926454|102.39801744454434|1.496050006932935
0|silverstone|http://en.wikipedia.org/wiki/2013_British_Grand_Prix|Silverstone Circuit|52.0786|-1.01694|Silverstone|UK|2013|8|2013-06-30|12:00:00Z|British Grand Prix|89.607|91.89681818181818|91.714|1.681339110192588|102.55540100864685|102.35137879853136|1.876347952941835
0|nurburgring|http://en.wikipedia.org/wiki/2013_German_Grand_Prix|Nürburgring|50.3356|6.9475|Nürburg|Germany|2013|9|2013-07-07|12:00:00Z|German Grand Prix|89.398|90.96090909090908|90.5115|1.3788977968649927|101.7482595705822|101.24555359180295|1.5424257778305897
0|hungaroring|http://en.wikipedia.org/wiki/2013_Hungarian_Grand_Prix|Hungaroring|47.5789|19.2486|Budapest|Hungary|2013|10|2013-07-28|12:00:00Z|Hungarian Grand Prix|79.388|81.00327272727273|80.5745|1.407328579828369|102.03465602770284|101.4945583715423|1.7727220484561492
0|spa|http://en.wikipedia.org/wiki/2013_Belgian_Grand_Prix|Circuit de Spa-Francorchamps|50.4372|5.97139|Spa|Belgium|2013|11|2013-08-25|12:00:00Z|Belgian Grand Prix|108.296|113.47413636363636|109.09549999999999|6.852317246536834|104.78146594854508|100.73825441382876|6.327396438037264
0|monza|http://en.wikipedia.org/wiki/2013_Italian_Grand_Prix|Autodromo Nazionale di Monza|45.6156|9.28111|Monza|Italy|2013|12|2013-09-08|12:00:00Z|Italian Grand Prix|83.755|84.94945454545456|84.5995|1.0309995486245718|101.42612924058807|101.00829801205899|1.230970746372841
0|marina_bay|http://en.wikipedia.org/wiki/2013_Singapore_Grand_Prix|Marina Bay Street Circuit|1.2914|103.864|Marina Bay|Singapore|2013|13|2013-09-22|12:00:00Z|Singapore Grand Prix|102.841|105.09345454545452|104.5715|1.9297324938538754|102.19023010808387|101.68269464513182|1.876423307682612
0|yeongam|http://en.wikipedia.org/wiki/2013_Korean_Grand_Prix|Korean International Circuit|34.7333|126.417|Yeongam County|Korea|2013|14|2013-10-06|06:00:00Z|Korean Grand Prix|97.202|98.75795454545455|98.36349999999999|1.2821844632639632|101.60074334422602|101.19493426061192|1.3190926763481903
